breath,start_s,mid_s,peak_s,end_s,clock,inhale_dur_s,exhale_dur_s,cycle_dur_s,rate_bpm,ie_ratio,duty_cycle,inhale_amp_norm,exhale_amp_norm,inhale_amp_raw,inhale_slope_norm,n_holds,hold_dur_s,event_marker,phase,amp_local_median,amp_ratio,is_sigh,cv_cycle_w,succ_diff_w,autocorr1_w,arousal_index_z
711,2281.75,2283.375,2283.2,2285.0,2025-08-08 16:31:27.077000,1.45,1.8,3.25,18.462,0.8056,0.4462,0.3346,-0.3242,4.19222,0.2308,0,0.0,break_1,break_1,3.92928,1.067,0,0.1541,0.3214,0.361,-0.8826
712,2285.0,2286.525,2286.4,2288.05,2025-08-08 16:31:30.295000,1.4,1.65,3.05,19.672,0.8485,0.459,0.3717,-0.3733,4.65616,0.2655,0,0.0,break_1,break_1,3.92201,1.187,0,0.1532,0.2952,0.3562,-0.8198
713,2288.05,2289.475,2289.4,2290.9,2025-08-08 16:31:33.378000,1.35,1.5,2.85,21.053,0.9,0.4737,0.306,-0.3078,3.83334,0.2266,0,0.0,break_1,break_1,3.83334,1.0,0,0.1532,0.3,0.7483,-0.7448
714,2290.9,2292.325,2292.15,2293.75,2025-08-08 16:31:36.174000,1.25,1.6,2.85,21.053,0.7813,0.4386,0.2441,-0.255,3.05866,0.1953,0,0.0,break_1,break_1,3.82308,0.8,0,0.1019,0.2143,0.5874,-0.9102
715,2293.75,2295.175,2294.95,2296.6,2025-08-08 16:31:39.110000,1.2,1.65,2.85,21.053,0.7273,0.4211,0.3019,-0.2979,3.78267,0.2516,0,0.0,break_1,break_1,3.78267,1.0,0,0.0844,0.1738,0.3652,-0.9666
716,2296.6,2298.25,2298.15,2299.9,2025-08-08 16:31:41.930000,1.55,1.75,3.3,18.182,0.8857,0.4697,0.3811,-0.3688,4.77481,0.2459,0,0.0,break_1,break_1,3.78267,1.262,0,0.0683,0.1714,0.3314,-1.1744
717,2299.9,2301.5,2301.1,2303.1,2025-08-08 16:31:45.207000,1.2,2.0,3.2,18.75,0.6,0.375,0.3131,-0.3283,3.92201,0.2609,0,0.0,break_1,break_1,3.78267,1.037,0,0.0674,0.15,0.305,-1.1464
718,2303.1,2304.35,2304.2,2305.6,2025-08-08 16:31:48.377000,1.1,1.4,2.5,24.0,0.7857,0.44,0.3052,-0.3037,3.82308,0.2774,0,0.0,break_1,break_1,3.74586,1.021,0,0.0668,0.1548,0.3139,-0.8633
719,2305.6,2306.975,2306.85,2308.35,2025-08-08 16:31:50.897000,1.25,1.5,2.75,21.818,0.8333,0.4545,0.2777,-0.2866,3.47931,0.2222,0,0.0,break_1,break_1,3.74586,0.929,0,0.1315,0.2238,0.0761,-0.7732
720,2308.35,2309.725,2309.65,2311.1,2025-08-08 16:31:53.696000,1.3,1.45,2.75,21.818,0.8966,0.4727,0.2762,-0.2776,3.46038,0.2125,0,0.0,break_1,break_1,3.68637,0.939,0,0.133,0.2762,0.2057,-0.7684
721,2311.1,2312.475,2312.2,2313.85,2025-08-08 16:31:56.396000,1.1,1.65,2.75,21.818,0.6667,0.4,0.2899,-0.2911,3.63174,0.2635,1,0.5,break_1,break_1,3.74586,0.97,0,0.155,0.3024,0.2633,-0.6975
722,2313.85,2315.325,2314.95,2316.8,2025-08-08 16:31:59.184000,1.1,1.85,2.95,20.339,0.5946,0.3729,0.2715,-0.2223,3.40146,0.2468,1,0.4,break_1,break_1,3.74586,0.908,0,0.1677,0.3095,0.4317,-0.7369
723,2316.8,2318.2,2317.75,2319.6,2025-08-08 16:32:02.089000,0.95,1.85,2.8,21.429,0.5135,0.3393,0.2453,-0.2737,3.07291,0.2582,1,0.3,break_1,break_1,3.74586,0.82,0,0.1676,0.3452,0.3912,-0.678
724,2319.6,2321.05,2320.75,2322.5,2025-08-08 16:32:04.881000,1.15,1.75,2.9,20.69,0.6571,0.3966,0.2756,-0.2777,3.4526,0.2396,0,0.0,break_1,break_1,3.74586,0.922,0,0.1666,0.3524,0.3782,-0.7214
725,2322.5,2323.975,2323.6,2325.45,2025-08-08 16:32:07.792000,1.1,1.85,2.95,20.339,0.5946,0.3729,0.299,-0.3012,3.74586,0.2718,1,0.35,break_1,break_1,3.74586,1.0,0,0.1647,0.369,0.3611,-0.7465
726,2325.45,2326.875,2326.55,2328.3,2025-08-08 16:32:10.796000,1.1,1.75,2.85,21.053,0.6286,0.386,0.3054,-0.3108,3.8261,0.2776,1,0.45,break_1,break_1,3.74586,1.021,0,0.1636,0.3762,0.3741,-0.7113
727,2328.3,2329.775,2329.55,2331.25,2025-08-08 16:32:13.609000,1.25,1.7,2.95,20.339,0.7353,0.4237,0.2841,-0.2802,3.55932,0.2273,0,0.0,break_1,break_1,3.74586,0.95,0,0.1647,0.3548,0.3778,-0.7465
728,2331.25,2332.675,2332.4,2334.1,2025-08-08 16:32:16.525000,1.15,1.7,2.85,21.053,0.6765,0.4035,0.2788,-0.2703,3.49328,0.2425,1,0.45,break_1,break_1,3.74586,0.933,0,0.1662,0.3524,0.4064,-0.7029
729,2334.1,2336.35,2336.0,2338.6,2025-08-08 16:32:19.397000,1.9,2.6,4.5,13.333,0.7308,0.4222,0.4929,-0.4967,6.17472,0.2594,0,0.0,break_1,break_1,3.74586,1.648,0,0.1614,0.3571,0.3369,-1.1376
730,2338.6,2340.275,2339.8,2341.95,2025-08-08 16:32:23.905000,1.2,2.15,3.35,17.91,0.5581,0.3582,0.2942,-0.3005,3.68637,0.2452,1,0.5,break_1,break_1,3.74586,0.984,0,0.1584,0.3786,0.2788,-0.8987
731,2341.95,2344.05,2343.45,2346.15,2025-08-08 16:32:27.293000,1.5,2.7,4.2,14.286,0.5556,0.3571,0.347,-0.3521,4.34688,0.2313,0,0.0,break_1,break_1,3.80919,1.141,0,0.1563,0.3833,0.2564,-1.1023
732,2346.15,2348.175,2347.7,2350.2,2025-08-08 16:32:31.496000,1.55,2.5,4.05,14.815,0.62,0.3827,0.3378,-0.335,4.23176,0.2179,0,0.0,break_1,break_1,3.8261,1.106,0,0.1532,0.3881,0.2484,-1.0836
733,2350.2,2351.75,2351.55,2353.3,2025-08-08 16:32:35.481000,1.35,1.75,3.1,19.355,0.7714,0.4355,0.3286,-0.3164,4.11656,0.2434,0,0.0,break_1,break_1,3.8261,1.076,0,0.1523,0.381,0.2367,-0.8399
734,2353.3,2355.025,2354.7,2356.75,2025-08-08 16:32:38.601000,1.4,2.05,3.45,17.391,0.6829,0.4058,0.304,-0.3098,3.80919,0.2172,1,0.4,break_1,break_1,3.84459,0.991,0,0.1531,0.3881,0.2255,-0.944
735,2356.75,2358.3,2357.9,2359.85,2025-08-08 16:32:42.110000,1.15,1.95,3.1,19.355,0.5897,0.371,0.2708,-0.2737,3.3933,0.2355,1,0.4,break_1,break_1,3.84459,0.883,0,0.1537,0.3881,0.2398,-0.8354
736,2359.85,2361.325,2361.05,2362.8,2025-08-08 16:32:45.198000,1.2,1.75,2.95,20.339,0.6857,0.4068,0.3311,-0.3238,4.14831,0.2759,0,0.0,break_1,break_1,3.93843,1.053,0,0.1525,0.4167,0.1972,-0.7859
737,2362.8,2364.275,2363.95,2365.75,2025-08-08 16:32:48.111000,1.15,1.8,2.95,20.339,0.6389,0.3898,0.3457,-0.3564,4.33113,0.3006,0,0.0,break_1,break_1,3.93843,1.1,0,0.1496,0.4286,0.1688,-0.7952
738,2365.75,2367.2,2366.85,2368.65,2025-08-08 16:32:51.087000,1.1,1.8,2.9,20.69,0.6111,0.3793,0.3368,-0.3436,4.21928,0.3062,0,0.0,break_1,break_1,3.93843,1.071,0,0.1485,0.4286,0.1495,-0.7797
739,2368.65,2370.5,2370.45,2372.35,2025-08-08 16:32:53.991000,1.8,1.9,3.7,16.216,0.9474,0.4865,0.3417,-0.336,4.28102,0.1898,1,0.3,break_1,break_1,3.98826,1.073,0,0.1448,0.4381,0.326,-1.0346
740,2372.35,2373.85,2373.45,2375.35,2025-08-08 16:32:57.680000,1.1,1.9,3.0,20.0,0.5789,0.3667,0.2942,-0.2927,3.68569,0.2674,1,0.25,break_1,break_1,3.93843,0.936,0,0.1192,0.3667,0.3458,-0.9116
741,2375.35,2376.8,2376.45,2378.25,2025-08-08 16:33:00.680000,1.1,1.8,2.9,20.69,0.6111,0.3793,0.3144,-0.3118,3.93843,0.2858,0,0.0,break_1,break_1,3.93843,1.0,0,0.1193,0.3143,0.3726,-0.8738
742,2378.25,2379.75,2379.35,2381.25,2025-08-08 16:33:03.594000,1.1,1.9,3.0,20.0,0.5789,0.3667,0.3183,-0.3253,3.98826,0.2894,1,0.4,break_1,break_1,3.9214,1.017,0,0.0982,0.281,-0.0375,-0.9793
743,2381.25,2382.775,2382.4,2384.3,2025-08-08 16:33:06.591000,1.15,1.9,3.05,19.672,0.6053,0.377,0.2918,-0.2807,3.65541,0.2537,1,0.5,break_1,break_1,3.9214,0.932,0,0.0743,0.2786,-0.0451,-1.0741
744,2384.3,2385.675,2385.5,2387.05,2025-08-08 16:33:09.588000,1.2,1.55,2.75,21.818,0.7742,0.4364,0.3069,-0.2993,3.84459,0.2557,0,0.0,break_1,break_1,3.88341,0.99,0,0.0745,0.2357,-0.046,-0.9569
745,2387.05,2388.475,2388.2,2389.9,2025-08-08 16:33:12.409000,1.15,1.7,2.85,21.053,0.6765,0.4035,0.2847,-0.29,3.56669,0.2476,0,0.0,break_1,break_1,3.9214,0.91,0,0.0703,0.2214,-0.0553,-1.012
746,2389.9,2391.65,2391.55,2393.4,2025-08-08 16:33:15.200000,1.65,1.85,3.5,17.143,0.8919,0.4714,0.3435,-0.3482,4.30405,0.2082,0,0.0,break_1,break_1,3.93843,1.093,0,0.0706,0.2095,-0.0515,-1.2234
747,2393.4,2394.975,2394.65,2396.55,2025-08-08 16:33:18.706000,1.25,1.9,3.15,19.048,0.6579,0.3968,0.313,-0.3106,3.9214,0.2504,0,0.0,break_1,break_1,3.93843,0.996,0,0.0761,0.219,-0.0234,-1.1022
748,2396.55,2398.075,2397.6,2399.6,2025-08-08 16:33:21.887000,1.05,2.0,3.05,19.672,0.525,0.3443,0.2857,-0.2881,3.57984,0.2721,0,0.0,break_1,break_1,3.9214,0.913,0,0.0756,0.2452,-0.1092,-1.0699
749,2399.6,2401.275,2400.85,2402.95,2025-08-08 16:33:24.897000,1.25,2.1,3.35,17.91,0.5952,0.3731,0.3517,-0.352,4.40573,0.2813,0,0.0,break_1,break_1,3.88341,1.135,0,0.083,0.2619,0.0837,-1.1418
750,2402.95,2404.55,2404.35,2406.15,2025-08-08 16:33:28.217000,1.4,1.8,3.2,18.75,0.7778,0.4375,0.3031,-0.307,3.79715,0.2165,0,0.0,break_1,break_1,3.84459,0.988,0,0.0713,0.2476,0.1273,-1.1338
751,2406.15,2407.725,2407.55,2409.3,2025-08-08 16:33:31.495000,1.4,1.75,3.15,19.048,0.8,0.4444,0.2811,-0.2719,3.52166,0.2008,0,0.0,break_1,break_1,3.88341,0.907,0,0.0731,0.2262,0.1066,-1.1119
752,2409.3,2410.8,2410.65,2412.3,2025-08-08 16:33:34.585000,1.35,1.65,3.0,20.0,0.8182,0.45,0.31,-0.3094,3.88341,0.2296,0,0.0,break_1,break_1,3.84459,1.01,0,0.0748,0.2238,0.1513,-1.0547
753,2412.3,2413.85,2413.6,2415.4,2025-08-08 16:33:37.587000,1.3,1.8,3.1,19.355,0.7222,0.4194,0.3207,-0.3309,4.01785,0.2467,0,0.0,break_1,break_1,3.84098,1.046,0,0.0856,0.2333,0.2564,-1.0549
754,2415.4,2416.925,2416.55,2418.45,2025-08-08 16:33:40.702000,1.15,1.9,3.05,19.672,0.6053,0.377,0.2878,-0.2916,3.60594,0.2503,1,0.4,break_1,break_1,3.84098,0.939,0,0.0856,0.2595,0.2108,-1.0377
755,2418.45,2420.0,2419.55,2421.55,2025-08-08 16:33:43.787000,1.1,2.0,3.1,19.355,0.55,0.3548,0.3317,-0.3346,4.15564,0.3015,1,0.7,break_1,break_1,3.84098,1.082,0,0.294,0.4452,0.0793,-0.3832
756,2421.55,2423.15,2422.9,2424.75,2025-08-08 16:33:46.910000,1.35,1.85,3.2,18.75,0.7297,0.4219,0.3742,-0.3646,4.68804,0.2772,0,0.0,break_1,break_1,3.84098,1.221,0,0.2903,0.6262,0.0521,-0.428
757,2424.75,2426.525,2426.25,2428.3,2025-08-08 16:33:50.098000,1.5,2.05,3.55,16.901,0.7317,0.4225,0.3423,-0.3469,4.28875,0.2282,0,0.0,break_1,break_1,3.81326,1.125,0,0.2921,0.6262,0.058,-0.5226
758,2428.3,2429.8,2429.4,2431.3,2025-08-08 16:33:53.605000,1.1,1.9,3.0,20.0,0.5789,0.3667,0.2756,-0.2793,3.45263,0.2505,0,0.0,break_1,break_1,3.79715,0.909,0,0.2915,0.6476,0.0519,-0.3563
759,2431.3,2432.6,2432.45,2433.9,2025-08-08 16:33:56.605000,1.15,1.45,2.6,23.077,0.7931,0.4423,0.3025,-0.2855,3.79032,0.2631,0,0.0,break_1,break_1,3.79715,0.998,0,0.2905,0.681,0.0485,-0.1924
760,2433.9,2435.45,2435.15,2437.0,2025-08-08 16:33:59.177000,1.25,1.85,3.1,19.355,0.6757,0.4032,0.281,-0.2875,3.52086,0.2248,1,0.4,break_1,break_1,3.79032,0.929,0,0.2921,0.7119,0.0381,-0.3894
761,2437.0,2438.425,2438.1,2439.85,2025-08-08 16:34:02.297000,1.1,1.75,2.85,21.053,0.6286,0.386,0.3179,-0.3146,3.98243,0.289,0,0.0,break_1,break_1,3.60594,1.104,0,0.2918,0.7119,0.0379,-0.2981
762,2439.85,2441.25,2440.85,2442.65,2025-08-08 16:34:05.152000,1.0,1.8,2.8,21.429,0.5556,0.3571,0.3066,-0.3067,3.84098,0.3066,1,0.4,break_1,break_1,3.79032,1.013,0,0.2901,0.7357,0.0311,-0.2832
763,2442.65,2443.9,2443.75,2445.15,2025-08-08 16:34:07.975000,1.1,1.4,2.5,24.0,0.7857,0.44,0.2744,-0.2676,3.43782,0.2495,0,0.0,break_1,break_1,3.64649,0.943,0,0.2892,0.7619,0.0182,-0.1465
764,2445.15,2446.7,2446.8,2448.25,2025-08-08 16:34:10.486000,1.65,1.45,3.1,19.355,1.1379,0.5323,0.3044,-0.3036,3.81326,0.1845,0,0.0,break_1,break_1,3.64649,1.046,0,0.2896,0.7595,0.0182,-0.3974
765,2448.25,2451.9,2450.9,2455.55,2025-08-08 16:34:13.615000,2.65,4.65,7.3,8.219,0.5699,0.363,0.963,-0.9684,12.06455,0.3634,0,0.0,break_1,break_1,3.65827,3.298,1,0.2896,0.7571,0.0191,-1.0021
766,2455.55,2457.25,2457.0,2458.95,2025-08-08 16:34:20.897000,1.45,1.95,3.4,17.647,0.7436,0.4265,0.2581,-0.2654,3.23419,0.178,0,0.0,break_1,break_1,3.65827,0.884,0,0.2872,0.781,0.0122,-0.4979
767,2458.95,2460.975,2460.6,2463.0,2025-08-08 16:34:24.286000,1.65,2.4,4.05,14.815,0.6875,0.4074,0.2821,-0.2873,3.53378,0.1709,1,0.8,break_1,break_1,3.64649,0.969,0,0.2885,0.8024,0.0103,-0.6475
768,2463.0,2464.625,2464.2,2466.25,2025-08-08 16:34:28.284000,1.2,2.05,3.25,18.462,0.5854,0.3692,0.251,-0.2428,3.1447,0.2092,0,0.0,break_1,break_1,3.64649,0.862,0,0.2904,0.7905,0.0179,-0.4433
769,2466.25,2468.275,2467.8,2470.3,2025-08-08 16:34:31.578000,1.55,2.5,4.05,14.815,0.62,0.3827,0.2291,-0.2428,2.87013,0.1478,1,1.0,break_1,break_1,3.65827,0.785,0,0.2895,0.7667,0.005,-0.6443
770,2470.3,2471.85,2471.35,2473.4,2025-08-08 16:34:35.604000,1.05,2.05,3.1,19.355,0.5122,0.3387,0.2609,-0.2552,3.26825,0.2484,1,0.6,break_1,break_1,3.64649,0.896,0,0.2816,0.7595,-0.0083,-0.4232
771,2473.4,2475.025,2475.1,2476.65,2025-08-08 16:34:38.692000,1.7,1.55,3.25,18.462,1.0968,0.5231,0.2804,-0.2719,3.51344,0.165,0,0.0,break_1,break_1,3.65827,0.96,0,0.2792,0.7643,-0.0221,-0.4794
772,2476.65,2478.55,2478.4,2480.45,2025-08-08 16:34:41.986000,1.75,2.05,3.8,15.789,0.8537,0.4605,0.3075,-0.3076,3.85229,0.1757,1,0.55,break_1,break_1,3.65827,1.053,0,0.2748,0.7833,-0.0525,-0.6388
773,2480.45,2482.0,2481.5,2483.55,2025-08-08 16:34:45.796000,1.05,2.05,3.1,19.355,0.5122,0.3387,0.2911,-0.2926,3.64649,0.2772,1,0.65,break_1,break_1,3.65827,0.997,0,0.2717,0.7929,-0.0909,-0.4551
774,2483.55,2485.075,2484.75,2486.6,2025-08-08 16:34:48.892000,1.2,1.85,3.05,19.672,0.6486,0.3934,0.3188,-0.3218,3.99434,0.2657,1,0.45,break_1,break_1,3.65827,1.092,0,0.302,0.8595,-0.05,-0.3403
775,2486.6,2488.125,2487.75,2489.65,2025-08-08 16:34:51.896000,1.15,1.9,3.05,19.672,0.6053,0.377,0.292,-0.2432,3.65827,0.2539,1,0.5,break_1,break_1,3.64649,1.003,0,0.302,0.9143,0.1058,-0.3403
776,2489.65,2491.45,2490.9,2493.25,2025-08-08 16:34:55.016000,1.25,2.35,3.6,16.667,0.5319,0.3472,0.3508,-0.4108,4.39464,0.2806,1,0.7,break_1,break_1,3.64649,1.205,0,0.1839,0.7524,0.1192,-0.8841
777,2493.25,2494.775,2494.45,2496.3,2025-08-08 16:34:58.577000,1.2,1.85,3.05,19.672,0.6486,0.3934,0.2892,-0.2877,3.62276,0.241,1,0.45,break_1,break_1,3.64649,0.993,0,0.2406,0.6238,0.297,-0.5381
778,2496.3,2497.875,2497.45,2499.45,2025-08-08 16:35:01.585000,1.15,2.0,3.15,19.048,0.575,0.3651,0.3165,-0.3168,3.96547,0.2752,0,0.0,break_1,break_1,3.64649,1.087,0,0.2342,0.681,0.2457,-0.5926
779,2499.45,2501.0,2500.9,2502.55,2025-08-08 16:35:04.824000,1.45,1.65,3.1,19.355,0.8788,0.4677,0.3288,-0.3195,4.11898,0.2267,0,0.0,break_1,break_1,3.64649,1.13,0,0.2344,0.6619,0.2335,-0.5753
780,2502.55,2504.225,2504.05,2505.9,2025-08-08 16:35:07.881000,1.5,1.85,3.35,17.91,0.8108,0.4478,0.2733,-0.2696,3.4237,0.1822,0,0.0,break_1,break_1,3.65827,0.936,0,0.2257,0.6381,0.236,-0.6818
781,2505.9,2507.875,2507.7,2509.85,2025-08-08 16:35:11.176000,1.8,2.15,3.95,15.19,0.8372,0.4557,0.3195,-0.3287,4.00336,0.1775,0,0.0,break_1,break_1,3.65827,1.094,0,0.2264,0.6,0.2336,-0.8273
782,2509.85,2511.5,2511.1,2513.15,2025-08-08 16:35:15.202000,1.25,2.05,3.3,18.182,0.6098,0.3788,0.3117,-0.3117,3.90484,0.2493,0,0.0,break_1,break_1,3.7697,1.036,0,0.304,0.7429,0.1315,-0.4147
783,2513.15,2514.675,2514.95,2516.2,2025-08-08 16:35:18.501000,1.8,1.25,3.05,19.672,1.44,0.5902,0.3009,-0.213,3.7697,0.1672,0,0.0,subject_idle,subject_idle,3.65827,1.03,0,0.3076,0.881,0.0114,-0.3222
784,2516.2,2516.875,2516.75,2517.55,2025-08-08 16:35:21.499000,0.55,0.8,1.35,44.444,0.6875,0.4074,0.1037,-0.1454,1.29958,0.1886,1,0.65,subject_idle,subject_idle,3.65827,0.355,0,0.3147,0.8571,0.0286,1.0458
785,2517.55,2519.1,2518.65,2520.65,2025-08-08 16:35:22.912000,1.1,2.0,3.1,19.355,0.55,0.3548,0.2555,-0.2954,3.20066,0.2322,0,0.0,subject_idle,subject_idle,3.65827,0.875,0,0.3586,0.9214,0.0901,-0.175
786,2520.65,2521.8,2521.85,2522.95,2025-08-08 16:35:25.997000,1.2,1.1,2.3,26.087,1.0909,0.5217,0.3194,-0.2908,4.00135,0.2662,0,0.0,subject_idle,subject_idle,3.7697,1.061,0,0.3676,0.9786,0.1423,0.2195
787,2522.95,2523.5,2523.35,2524.05,2025-08-08 16:35:28.310000,0.4,0.7,1.1,54.545,0.5714,0.3636,0.1588,-0.1524,1.98956,0.397,1,0.55,subject_idle,subject_idle,3.62276,0.549,0,0.3674,1.0167,0.1146,1.7642
788,2524.05,2525.525,2525.0,2527.0,2025-08-08 16:35:29.419000,0.95,2.0,2.95,20.339,0.475,0.322,0.2468,-0.2937,3.09247,0.2598,1,0.75,sart_4,sart_4,3.7697,0.82,0,0.3724,1.0429,0.0986,-0.0771
789,2527.0,2528.675,2528.2,2530.35,2025-08-08 16:35:32.297000,1.2,2.15,3.35,17.91,0.5581,0.3582,0.2863,-0.3164,3.58696,0.2386,1,0.45,sart_4,sart_4,3.7697,0.952,0,0.3728,1.0643,0.0927,-0.2077
790,2530.35,2531.875,2531.4,2533.4,2025-08-08 16:35:35.687000,1.05,2.0,3.05,19.672,0.525,0.3443,0.4503,-0.3736,5.64105,0.4288,0,0.0,sart_4,sart_4,3.7697,1.496,0,0.377,1.0857,0.0853,-0.0985
791,2533.4,2534.85,2534.5,2536.3,2025-08-08 16:35:38.688000,1.1,1.8,2.9,20.69,0.6111,0.3793,0.2237,-0.2887,2.80258,0.2034,0,0.0,sart_4,sart_4,3.7697,0.743,0,0.3772,1.0976,0.0572,-0.0426
792,2536.3,2539.325,2538.85,2542.35,2025-08-08 16:35:41.571000,2.55,3.5,6.05,9.917,0.7286,0.4215,0.6005,-0.5977,7.52365,0.2355,1,0.7,sart_4,sart_4,3.7697,1.996,0,0.4634,1.2548,0.0568,-0.3498
793,2542.35,2543.65,2543.55,2544.95,2025-08-08 16:35:47.694000,1.2,1.4,2.6,23.077,0.8571,0.4615,0.2606,-0.2504,3.26512,0.2172,0,0.0,sart_4,sart_4,3.58696,0.91,0,0.4631,1.3905,0.0902,0.3639
794,2544.95,2546.15,2545.85,2547.35,2025-08-08 16:35:50.304000,0.9,1.5,2.4,25.0,0.6,0.375,0.2063,-0.2006,2.58449,0.2292,0,0.0,sart_4,sart_4,3.46431,0.746,0,0.4691,1.4238,0.0909,0.4876
795,2547.35,2547.85,2547.85,2548.35,2025-08-08 16:35:52.699000,0.5,0.5,1.0,60.0,1.0,0.5,0.3826,-0.2198,4.79376,0.7653,0,0.0,sart_4,sart_4,3.46431,1.384,0,0.4393,1.4143,0.0821,2.2921
796,2548.35,2549.45,2548.95,2550.55,2025-08-08 16:35:53.687000,0.6,1.6,2.2,27.273,0.375,0.2727,0.3089,-0.4598,3.8701,0.5148,0,0.0,sart_4,sart_4,3.46431,1.117,0,0.4383,1.3619,0.0888,0.5118
797,2550.55,2552.325,2551.75,2554.1,2025-08-08 16:35:55.907000,1.2,2.35,3.55,16.901,0.5106,0.338,0.2765,-0.2447,3.46431,0.2304,0,0.0,sart_4,sart_4,3.26512,1.061,0,0.4295,1.3357,0.0466,-0.0798
798,2554.1,2555.325,2555.05,2556.55,2025-08-08 16:35:59.391000,0.95,1.5,2.45,24.49,0.6333,0.3878,0.4061,-0.3443,5.08745,0.4274,0,0.0,sart_4,sart_4,3.46431,1.469,0,0.3977,1.3048,0.0359,0.2298
799,2556.55,2558.05,2557.95,2559.55,2025-08-08 16:36:01.885000,1.4,1.6,3.0,20.0,0.875,0.4667,0.4205,-0.3975,5.26759,0.3003,0,0.0,sart_4,sart_4,3.58696,1.469,0,0.3959,1.25,0.0365,-0.0198
800,2559.55,2560.8,2560.65,2562.05,2025-08-08 16:36:04.882000,1.1,1.4,2.5,24.0,0.7857,0.44,0.3274,-0.355,4.10214,0.2977,0,0.0,sart_4,sart_4,3.46431,1.184,0,0.4016,1.2571,0.0366,0.2158
801,2562.05,2563.55,2563.1,2565.05,2025-08-08 16:36:07.396000,1.05,1.95,3.0,20.0,0.5385,0.35,0.2296,-0.272,2.87663,0.2187,0,0.0,sart_4,sart_4,3.46431,0.83,0,0.3999,1.2762,0.0325,-0.0069
802,2565.05,2568.5,2567.95,2571.95,2025-08-08 16:36:10.406000,2.9,4.0,6.9,8.696,0.725,0.4203,1.3599,-1.4102,17.03727,0.4689,0,0.0,sart_4,sart_4,3.68164,4.628,1,0.4026,1.3024,0.0637,-0.612
803,2571.95,2573.65,2573.45,2575.35,2025-08-08 16:36:17.299000,1.5,1.9,3.4,17.647,0.7895,0.4412,0.2489,-0.2657,3.11804,0.1659,0,0.0,sart_4,sart_4,3.52059,0.886,0,0.3598,1.1667,0.1286,-0.2639
804,2575.35,2576.575,2576.5,2577.8,2025-08-08 16:36:20.688000,1.15,1.3,2.45,24.49,0.8846,0.4694,0.2484,-0.2268,3.11247,0.216,0,0.0,sart_4,sart_4,3.68164,0.845,0,0.3563,1.0048,0.1188,0.0964
805,2577.8,2579.775,2579.35,2581.75,2025-08-08 16:36:23.094000,1.55,2.4,3.95,15.19,0.6458,0.3924,0.201,-0.2051,2.51807,0.1297,0,0.0,sart_4,sart_4,3.69924,0.681,0,0.3541,1.0167,0.0686,-0.4157
806,2581.75,2583.4,2582.75,2585.05,2025-08-08 16:36:27.139000,1.0,2.3,3.3,18.182,0.4348,0.303,0.243,-0.2456,3.04421,0.243,1,0.7,sart_4,sart_4,3.69924,0.823,0,0.3103,0.9667,-0.0236,-0.3944
807,2585.05,2586.575,2586.0,2588.1,2025-08-08 16:36:30.414000,0.95,2.1,3.05,19.672,0.4524,0.3115,0.2571,-0.2908,3.22075,0.2706,1,0.4,sart_4,sart_4,3.69924,0.871,0,0.3012,0.9143,0.0021,-0.3428
808,2588.1,2589.35,2589.2,2590.6,2025-08-08 16:36:33.377000,1.1,1.4,2.5,24.0,0.7857,0.44,0.32,-0.2807,4.00852,0.2909,0,0.0,sart_4,sart_4,3.72447,1.076,0,0.3046,0.8524,0.0253,-0.0969
809,2590.6,2592.2,2592.1,2593.8,2025-08-08 16:36:35.896000,1.5,1.7,3.2,18.75,0.8824,0.4687,0.2939,-0.2387,3.68164,0.1959,1,0.35,sart_4,sart_4,3.72447,0.989,0,0.3012,0.8024,0.0297,-0.3929
810,2593.8,2595.125,2594.95,2596.45,2025-08-08 16:36:39.080000,1.15,1.5,2.65,22.642,0.7667,0.434,0.2456,-0.2909,3.07642,0.2135,0,0.0,sart_4,sart_4,3.72447,0.826,0,0.3019,0.7857,0.0308,-0.1793
811,2596.45,2598.125,2597.95,2599.8,2025-08-08 16:36:41.814000,1.5,1.85,3.35,17.91,0.8108,0.4478,0.2953,-0.2993,3.69924,0.1968,0,0.0,sart_4,sart_4,3.72447,0.993,0,0.2986,0.769,0.0312,-0.4469
812,2599.8,2601.125,2601.0,2602.45,2025-08-08 16:36:45.084000,1.2,1.45,2.65,22.642,0.8276,0.4528,0.2973,-0.2939,3.72447,0.2477,0,0.0,sart_4,sart_4,3.72447,1.0,0,0.302,0.75,0.1838,-0.179
813,2602.45,2603.925,2603.85,2605.4,2025-08-08 16:36:47.786000,1.4,1.55,2.95,20.339,0.9032,0.4746,0.281,-0.2952,3.52059,0.2007,0,0.0,sart_4,sart_4,3.69924,0.952,0,0.1263,0.5667,-0.2282,-0.8703
814,2605.4,2606.9,2606.75,2608.4,2025-08-08 16:36:50.720000,1.35,1.65,3.0,20.0,0.8182,0.45,0.3528,-0.3462,4.42012,0.2613,0,0.0,sart_4,sart_4,3.72447,1.187,0,0.1219,0.4071,-0.1332,-0.9029
815,2608.4,2609.675,2609.65,2610.95,2025-08-08 16:36:53.694000,1.25,1.3,2.55,23.529,0.9615,0.4902,0.3077,-0.3278,3.85535,0.2462,0,0.0,sart_4,sart_4,3.85535,1.0,0,0.1193,0.3881,0.0572,-0.7196
